duracion,presupuesto,facturacion_anual,fortaleza_tecnologica,experiencia_requerida,lugar_trabajo,numero_perfiles_requeridos,precio_hora,volumetria,prob_exito
35,582332,Menos de 250k,Experto,Específica,Híbrido,7,Bajo,0,70.0
27,748127,Menos de 250k,Experto,Específica,Remoto,18,Bajo,0,80.0
22,647036,Más de 1M,Básico,Específica,Híbrido,10,Bajo,1,65.0
25,276158,Entre 250k y 1M,Alto,Generalista,Remoto,19,Dentro del mercado,1,60.0
2,14754,Más de 1M,Alto,Específica,Presencial,9,Bajo,1,65.0
1,369438,Entre 250k y 1M,Alto,Generalista,Presencial,10,Alto,0,50.0
22,19221,Más de 1M,Alto,Específica,Remoto,9,Bajo,1,65.0
2,157921,Menos de 250k,Básico,Generalista,Remoto,18,Dentro del mercado,0,60.0
8,392777,Menos de 250k,Básico,Generalista,Híbrido,6,Dentro del mercado,1,50.0
9,867365,Más de 1M,Básico,Específica,Híbrido,19,Bajo,1,65.0
5,33640,Más de 1M,Experto,Generalista,Híbrido,5,Dentro del mercado,1,85.0
7,673735,Menos de 250k,Alto,Específica,Híbrido,15,Alto,1,50.0
25,293378,Entre 250k y 1M,Alto,Específica,Presencial,12,Alto,0,50.0
25,678412,Entre 250k y 1M,Experto,Generalista,Presencial,5,Bajo,0,80.0
3,264795,Entre 250k y 1M,Básico,Específica,Remoto,10,Alto,0,50.0
35,740918,Más de 1M,Alto,Específica,Híbrido,1,Dentro del mercado,1,75.0
21,63283,Menos de 250k,Básico,Específica,Presencial,3,Bajo,0,50.0
25,985765,Más de 1M,Básico,Generalista,Híbrido,8,Bajo,1,65.0
9,831132,Entre 250k y 1M,Experto,Específica,Híbrido,19,Alto,0,70.0
18,959673,Menos de 250k,Experto,Generalista,Remoto,11,Bajo,1,80.0
17,134462,Más de 1M,Alto,Generalista,Híbrido,7,Dentro del mercado,1,65.0
27,236205,Entre 250k y 1M,Básico,Específica,Híbrido,6,Bajo,1,40.0
32,139019,Menos de 250k,Alto,Generalista,Presencial,2,Alto,1,50.0
23,629656,Menos de 250k,Básico,Generalista,Presencial,16,Dentro del mercado,0,70.0
16,451647,Más de 1M,Alto,Generalista,Presencial,3,Alto,1,65.0
25,106118,Más de 1M,Básico,Específica,Presencial,8,Bajo,1,65.0
18,520595,Entre 250k y 1M,Experto,Generalista,Remoto,4,Bajo,0,80.0
34,133577,Entre 250k y 1M,Alto,Generalista,Remoto,20,Dentro del mercado,0,60.0
12,180805,Entre 250k y 1M,Experto,Generalista,Presencial,4,Dentro del mercado,0,80.0
25,348708,Más de 1M,Básico,Generalista,Remoto,12,Bajo,1,65.0
18,498853,Entre 250k y 1M,Alto,Específica,Presencial,20,Bajo,0,50.0
29,93739,Entre 250k y 1M,Experto,Generalista,Remoto,10,Alto,0,70.0
20,603553,Menos de 250k,Experto,Generalista,Remoto,20,Alto,1,80.0
7,638431,Menos de 250k,Alto,Específica,Presencial,4,Alto,0,60.0
27,265434,Más de 1M,Básico,Específica,Híbrido,16,Alto,1,55.0
12,361839,Más de 1M,Básico,Generalista,Híbrido,19,Alto,0,55.0
13,192577,Más de 1M,Alto,Específica,Híbrido,18,Alto,0,55.0
17,894330,Menos de 250k,Experto,Generalista,Híbrido,12,Bajo,1,70.0
3,769252,Menos de 250k,Alto,Generalista,Remoto,11,Bajo,1,60.0
28,106810,Más de 1M,Alto,Generalista,Remoto,6,Bajo,1,65.0
18,763497,Entre 250k y 1M,Experto,Específica,Remoto,20,Bajo,1,80.0
9,219133,Más de 1M,Experto,Específica,Remoto,17,Dentro del mercado,1,95.0
19,469315,Más de 1M,Experto,Específica,Presencial,10,Bajo,1,85.0
21,92158,Entre 250k y 1M,Básico,Generalista,Remoto,11,Alto,1,50.0
11,759121,Menos de 250k,Alto,Generalista,Presencial,15,Alto,0,60.0
15,420026,Más de 1M,Experto,Específica,Presencial,19,Bajo,1,85.0
11,871633,Menos de 250k,Alto,Generalista,Remoto,20,Dentro del mercado,1,70.0
35,368584,Más de 1M,Alto,Específica,Presencial,20,Alto,0,65.0
12,846975,Más de 1M,Básico,Específica,Presencial,10,Dentro del mercado,0,85.0
14,509937,Más de 1M,Experto,Específica,Remoto,20,Dentro del mercado,1,100.0
29,852015,Menos de 250k,Experto,Generalista,Híbrido,1,Bajo,1,70.0
8,16572,Menos de 250k,Experto,Generalista,Híbrido,14,Alto,0,60.0
12,718887,Menos de 250k,Alto,Específica,Híbrido,9,Bajo,0,50.0
