duracion,presupuesto,facturacion_anual,fortaleza_tecnologica,experiencia_requerida,lugar_trabajo,numero_perfiles_requeridos,precio_hora,volumetria,prob_exito
3,366362,Más de 1M,Básico,Generalista,Remoto,14,Bajo,1,65.0
30,777901,Entre 250k y 1M,Básico,Generalista,Híbrido,15,Alto,0,50.0
27,118947,Más de 1M,Básico,Generalista,Presencial,9,Alto,1,65.0
26,234470,Menos de 250k,Experto,Específica,Híbrido,6,Dentro del mercado,0,70.0
4,847239,Entre 250k y 1M,Básico,Específica,Remoto,10,Bajo,0,60.0
16,834506,Más de 1M,Básico,Generalista,Presencial,3,Alto,1,75.0
33,674034,Entre 250k y 1M,Básico,Específica,Remoto,3,Alto,0,60.0
35,828701,Menos de 250k,Alto,Generalista,Presencial,7,Alto,1,60.0
4,579606,Entre 250k y 1M,Experto,Específica,Remoto,12,Dentro del mercado,1,90.0
24,831548,Menos de 250k,Alto,Generalista,Remoto,8,Bajo,1,60.0
14,681181,Más de 1M,Experto,Generalista,Híbrido,15,Bajo,1,85.0
7,817066,Entre 250k y 1M,Alto,Específica,Remoto,18,Bajo,0,60.0
13,344171,Entre 250k y 1M,Experto,Generalista,Presencial,6,Bajo,1,70.0
13,301626,Entre 250k y 1M,Experto,Específica,Presencial,4,Dentro del mercado,1,80.0
33,590109,Más de 1M,Experto,Generalista,Remoto,11,Alto,0,95.0
25,54506,Entre 250k y 1M,Alto,Generalista,Presencial,3,Dentro del mercado,0,60.0
27,188319,Menos de 250k,Alto,Generalista,Presencial,15,Bajo,0,50.0
21,906953,Más de 1M,Alto,Específica,Híbrido,6,Alto,0,65.0
16,278181,Entre 250k y 1M,Alto,Generalista,Remoto,1,Alto,1,50.0
35,152422,Entre 250k y 1M,Básico,Específica,Híbrido,17,Dentro del mercado,1,50.0
18,57972,Más de 1M,Experto,Específica,Remoto,19,Alto,0,85.0
28,325699,Entre 250k y 1M,Experto,Generalista,Híbrido,2,Bajo,0,60.0
11,183181,Entre 250k y 1M,Experto,Generalista,Híbrido,8,Bajo,0,60.0
17,713816,Más de 1M,Alto,Específica,Híbrido,18,Alto,0,65.0
5,601804,Entre 250k y 1M,Experto,Específica,Presencial,19,Bajo,1,80.0
19,400673,Más de 1M,Alto,Específica,Presencial,9,Dentro del mercado,0,75.0
9,817308,Más de 1M,Experto,Específica,Híbrido,3,Bajo,0,85.0
12,718949,Entre 250k y 1M,Experto,Generalista,Remoto,8,Bajo,1,80.0
29,105338,Menos de 250k,Alto,Generalista,Presencial,1,Alto,0,50.0
1,784929,Menos de 250k,Experto,Generalista,Presencial,16,Dentro del mercado,0,90.0
8,882906,Menos de 250k,Básico,Generalista,Remoto,4,Alto,1,60.0
30,43191,Más de 1M,Alto,Específica,Híbrido,15,Bajo,1,55.0
18,492028,Menos de 250k,Alto,Específica,Presencial,12,Alto,1,50.0
30,674762,Más de 1M,Experto,Específica,Híbrido,18,Dentro del mercado,0,95.0
28,120204,Menos de 250k,Experto,Específica,Híbrido,19,Dentro del mercado,0,70.0
24,977674,Menos de 250k,Básico,Específica,Presencial,18,Dentro del mercado,0,70.0
31,945586,Más de 1M,Alto,Específica,Híbrido,12,Alto,1,65.0
23,736717,Menos de 250k,Experto,Generalista,Híbrido,20,Dentro del mercado,1,80.0
27,336919,Entre 250k y 1M,Básico,Específica,Híbrido,18,Dentro del mercado,0,50.0
15,841041,Entre 250k y 1M,Básico,Generalista,Híbrido,3,Bajo,0,50.0
9,96704,Entre 250k y 1M,Experto,Generalista,Remoto,17,Alto,0,70.0
6,210154,Más de 1M,Básico,Generalista,Remoto,12,Bajo,0,65.0
27,979853,Entre 250k y 1M,Básico,Generalista,Híbrido,7,Dentro del mercado,0,60.0
7,179828,Más de 1M,Alto,Específica,Híbrido,3,Bajo,0,55.0
10,217340,Menos de 250k,Básico,Específica,Remoto,1,Dentro del mercado,0,60.0
11,221814,Entre 250k y 1M,Alto,Específica,Híbrido,9,Dentro del mercado,1,50.0
25,40227,Entre 250k y 1M,Alto,Específica,Presencial,1,Dentro del mercado,0,60.0
35,634486,Entre 250k y 1M,Experto,Generalista,Remoto,11,Alto,0,80.0
19,295594,Menos de 250k,Básico,Generalista,Presencial,17,Alto,1,50.0
34,92475,Más de 1M,Básico,Específica,Remoto,7,Alto,1,65.0
31,713795,Menos de 250k,Alto,Generalista,Remoto,15,Alto,1,60.0
25,323179,Más de 1M,Experto,Específica,Híbrido,20,Bajo,1,75.0
24,793112,Menos de 250k,Básico,Específica,Remoto,9,Alto,1,60.0
2,730555,Menos de 250k,Alto,Generalista,Remoto,7,Bajo,0,60.0
8,416766,Entre 250k y 1M,Alto,Generalista,Presencial,17,Dentro del mercado,1,60.0
5,831716,Más de 1M,Alto,Específica,Presencial,13,Dentro del mercado,0,85.0
5,842546,Entre 250k y 1M,Experto,Generalista,Híbrido,11,Dentro del mercado,1,80.0
4,835890,Más de 1M,Básico,Específica,Presencial,10,Bajo,0,75.0
19,307506,Más de 1M,Básico,Generalista,Presencial,1,Dentro del mercado,0,75.0
18,282047,Menos de 250k,Experto,Generalista,Presencial,19,Alto,1,70.0
15,929805,Menos de 250k,Básico,Generalista,Remoto,11,Bajo,0,60.0
8,489453,Más de 1M,Alto,Generalista,Remoto,3,Dentro del mercado,1,75.0
