id,id_cliente,nombre_proyecto,duracion,presupuesto,recursos_asignados,resultado,fecha_inicio,fecha_fin,solvencia_economica_empresa,certificaciones_requeridas,precio_hora,fortaleza_tecnologica,experiencia_requerida,numero_perfiles_requeridos,curriculums,titulaciones_empleados,certificacion_empleados,idiomas,lugar_trabajo,horarios_trabajo,plazos,transicion_inicial,facturacion_anual,volumetria,slas,entregables_oferta,disponibilidad_referencias,informacion_adicional
1,39,Proyecto_1,238,783972.43,Recurso B,Exito,2020-01-01,2020-02-01,Baja,True,83.2,Nivel Medio,Específica,19,22,Más del 75%,True,False,Remoto,Flexible,1,1,4662325.82,False,False,Entregable B,True,Info A
2,29,Proyecto_2,45,708331.74,Recurso B,Fracaso,2020-01-02,2020-02-02,Baja,True,44.01,Nivel Alto,Sin Experiencia,9,25,50%-75%,False,False,Presencial,Flexible,4,5,582118.25,True,True,Entregable B,True,Info C
3,15,Proyecto_3,232,451904.96,Recurso A,Fracaso,2020-01-03,2020-02-03,Baja,False,52.76,Nivel Medio,Sin Experiencia,12,18,50%-75%,False,False,Remoto,Flexible,3,1,4318381.12,False,True,Entregable C,False,Info A
4,43,Proyecto_4,15,865574.02,Recurso C,Fracaso,2020-01-04,2020-02-04,Baja,True,72.42,Nivel Medio,Sin Experiencia,5,6,25%-50%,True,False,Remoto,Flexible,5,1,838572.04,False,True,Entregable A,False,Info C
5,8,Proyecto_5,331,562558.85,Recurso A,Exito,2020-01-05,2020-02-05,Baja,False,58.26,Nivel Bajo,Sin Experiencia,11,18,50%-75%,False,False,Remoto,Flexible,9,2,2445113.68,False,True,Entregable B,False,Info C
6,21,Proyecto_6,229,544506.78,Recurso A,Exito,2020-01-06,2020-02-06,Alta,True,88.22,Nivel Alto,Sin Experiencia,3,16,Menos del 25%,False,False,Híbrido,Flexible,8,5,1131194.49,True,False,Entregable C,False,Info C
7,39,Proyecto_7,84,43845.89,Recurso B,Fracaso,2020-01-07,2020-02-07,Alta,True,88.61,Nivel Medio,General,15,15,Menos del 25%,True,True,Remoto,Fijo,9,1,3034590.77,True,True,Entregable C,True,Info C
8,19,Proyecto_8,13,986826.05,Recurso A,Exito,2020-01-08,2020-02-08,Alta,True,15.84,Nivel Experto,Sin Experiencia,14,48,Menos del 25%,True,False,Presencial,Fijo,5,3,2814938.44,True,False,Entregable B,True,Info A
9,23,Proyecto_9,344,131741.1,Recurso B,Fracaso,2020-01-09,2020-02-09,Media,False,81.13,Nivel Medio,Sin Experiencia,11,8,Más del 75%,False,False,Presencial,Flexible,8,4,1931036.45,True,False,Entregable B,False,Info A
10,11,Proyecto_10,143,238819.6,Recurso C,Fracaso,2020-01-10,2020-02-10,Baja,False,54.16,Nivel Medio,Sin Experiencia,8,13,Menos del 25%,False,True,Presencial,Fijo,4,5,4323352.4,False,True,Entregable B,True,Info C
11,11,Proyecto_11,127,61179.87,Recurso C,Exito,2020-01-11,2020-02-11,Alta,False,99.05,Nivel Experto,Sin Experiencia,4,43,25%-50%,True,False,Presencial,Fijo,5,2,3316075.94,True,False,Entregable A,False,Info A
12,24,Proyecto_12,103,643602.94,Recurso C,Fracaso,2020-01-12,2020-02-12,Media,True,56.07,Nivel Alto,Específica,12,7,Menos del 25%,False,False,Remoto,Fijo,3,5,3619965.37,False,True,Entregable A,True,Info C
13,36,Proyecto_13,71,232454.17,Recurso A,Exito,2020-01-13,2020-02-13,Alta,False,98.89,Nivel Bajo,Sin Experiencia,8,17,Más del 75%,True,True,Híbrido,Fijo,5,2,795765.7,True,False,Entregable C,True,Info C
