duracion,presupuesto,facturacion_anual,fortaleza_tecnologica,experiencia_requerida,lugar_trabajo,numero_perfiles_requeridos,precio_hora,volumetria,prob_exito,exito
52,520783,Más de 1M,Experto,General,Remoto,38,Por debajo del mercado,1,100.0,1
19,93483,Menos de 250k,Experto,Específica,Remoto,8,Por debajo del mercado,0,100.0,1
13,98171,250k a 1M,Intermedio,General,Híbrido,25,Dentro del mercado,0,81.79,1
59,1985906,Más de 1M,Intermedio,General,Remoto,13,Por debajo del mercado,1,100.0,1
29,1221322,Menos de 250k,Experto,Sin Experiencia,Híbrido,44,Dentro del mercado,1,83.83,1
27,1407081,Menos de 250k,Básico,Sin Experiencia,Presencial,28,Por debajo del mercado,0,87.45,1
26,1333463,Más de 1M,Experto,Sin Experiencia,Híbrido,38,Por debajo del mercado,0,100.0,1
20,1364132,Menos de 250k,Intermedio,General,Híbrido,22,Por encima del mercado,0,100.0,1
59,529633,Menos de 250k,Intermedio,Sin Experiencia,Presencial,2,Por debajo del mercado,0,74.29,1
18,1951791,Menos de 250k,Básico,Sin Experiencia,Remoto,44,Dentro del mercado,1,100.0,1
55,236597,Más de 1M,Básico,Sin Experiencia,Presencial,31,Dentro del mercado,0,95.75,1
59,1019775,Más de 1M,Básico,Sin Experiencia,Híbrido,12,Por debajo del mercado,0,100.0,1
46,465794,250k a 1M,Intermedio,General,Presencial,22,Por debajo del mercado,0,78.45,1
17,598999,Más de 1M,Intermedio,General,Presencial,39,Por debajo del mercado,1,100.0,1
49,1520651,Más de 1M,Básico,Sin Experiencia,Híbrido,12,Por encima del mercado,0,97.89,1
39,1836418,Menos de 250k,Básico,General,Remoto,23,Dentro del mercado,1,84.35,1
14,403906,Más de 1M,Básico,General,Remoto,3,Dentro del mercado,1,65.57,0
13,154402,Más de 1M,Básico,Específica,Híbrido,7,Por encima del mercado,0,95.4,1
17,891031,Más de 1M,Básico,Sin Experiencia,Remoto,25,Por encima del mercado,0,78.42,1
25,1346048,Menos de 250k,Experto,Específica,Híbrido,39,Dentro del mercado,0,100.0,1
26,949475,Más de 1M,Intermedio,Específica,Presencial,5,Por encima del mercado,1,100.0,1
44,1309114,250k a 1M,Experto,Sin Experiencia,Remoto,23,Por encima del mercado,1,100.0,1
50,595590,Más de 1M,Intermedio,Sin Experiencia,Remoto,28,Por debajo del mercado,0,100.0,1
13,363002,Menos de 250k,Experto,Específica,Remoto,40,Por encima del mercado,0,100.0,1
47,236775,Más de 1M,Intermedio,Específica,Híbrido,31,Dentro del mercado,0,100.0,1
24,821584,Más de 1M,Básico,General,Híbrido,34,Dentro del mercado,0,100.0,1
57,406773,Menos de 250k,Experto,General,Híbrido,4,Dentro del mercado,1,92.5,1
53,1239594,250k a 1M,Experto,Específica,Presencial,31,Por debajo del mercado,1,100.0,1
56,296101,Menos de 250k,Intermedio,Específica,Remoto,40,Por encima del mercado,1,100.0,1
46,79601,Menos de 250k,Experto,General,Presencial,33,Por encima del mercado,0,100.0,1
38,1556978,Más de 1M,Básico,Específica,Presencial,10,Dentro del mercado,1,100.0,1
26,1152761,Menos de 250k,Básico,General,Híbrido,14,Por debajo del mercado,0,66.17,0
40,962594,Más de 1M,Intermedio,General,Presencial,4,Por debajo del mercado,0,100.0,1
49,1671852,Más de 1M,Intermedio,General,Híbrido,31,Dentro del mercado,1,100.0,1
29,1979356,Más de 1M,Intermedio,General,Híbrido,43,Dentro del mercado,1,87.6,1
12,1996754,Menos de 250k,Básico,Específica,Presencial,3,Por encima del mercado,1,83.6,1
60,1001494,Más de 1M,Experto,Específica,Presencial,2,Por encima del mercado,0,100.0,1
22,1784884,Menos de 250k,Intermedio,General,Presencial,34,Dentro del mercado,1,66.71,0
56,1462662,Más de 1M,Experto,Sin Experiencia,Presencial,5,Por encima del mercado,1,64.33,0
39,1086305,Más de 1M,Básico,Específica,Presencial,13,Por encima del mercado,1,95.34,1
33,298538,250k a 1M,Intermedio,General,Híbrido,14,Dentro del mercado,1,100.0,1
29,520776,Menos de 250k,Experto,General,Remoto,49,Por debajo del mercado,0,100.0,1
21,1546451,250k a 1M,Experto,General,Presencial,48,Por encima del mercado,0,100.0,1
25,476026,Menos de 250k,Intermedio,Sin Experiencia,Presencial,20,Por encima del mercado,1,100.0,1
60,449600,250k a 1M,Intermedio,Específica,Presencial,48,Por debajo del mercado,0,100.0,1
33,1857612,250k a 1M,Intermedio,Específica,Remoto,38,Por debajo del mercado,1,98.05,1
18,1755849,250k a 1M,Experto,Sin Experiencia,Remoto,2,Por debajo del mercado,1,100.0,1
17,1690228,Más de 1M,Básico,Específica,Híbrido,10,Por debajo del mercado,1,100.0,1
36,608267,250k a 1M,Experto,Específica,Presencial,14,Por debajo del mercado,1,100.0,1
18,653900,250k a 1M,Intermedio,Sin Experiencia,Presencial,50,Por debajo del mercado,1,100.0,1
34,1615404,250k a 1M,Experto,Sin Experiencia,Remoto,31,Por encima del mercado,0,87.76,1
34,1086345,250k a 1M,Básico,General,Presencial,20,Dentro del mercado,0,100.0,1
50,851266,Menos de 250k,Experto,Específica,Híbrido,15,Por debajo del mercado,1,100.0,1
28,323047,Más de 1M,Básico,Específica,Remoto,12,Por encima del mercado,1,100.0,1
14,954519,250k a 1M,Experto,General,Híbrido,28,Por encima del mercado,1,100.0,1
58,1845870,Menos de 250k,Intermedio,General,Presencial,37,Por debajo del mercado,1,100.0,1
41,483284,Menos de 250k,Básico,Sin Experiencia,Híbrido,46,Por debajo del mercado,1,100.0,1
46,1308464,250k a 1M,Intermedio,Sin Experiencia,Presencial,12,Por encima del mercado,1,100.0,1
19,502075,Más de 1M,Experto,General,Presencial,49,Por debajo del mercado,1,100.0,1
36,1778239,Más de 1M,Básico,General,Híbrido,50,Dentro del mercado,0,100.0,1
17,643425,Más de 1M,Básico,Específica,Híbrido,18,Por debajo del mercado,1,100.0,1
47,1574017,250k a 1M,Básico,Sin Experiencia,Remoto,40,Por debajo del mercado,0,94.63,1
30,1470167,Menos de 250k,Experto,Específica,Remoto,19,Por debajo del mercado,1,95.98,1
52,447123,Más de 1M,Básico,Específica,Presencial,7,Dentro del mercado,0,76.54,1
51,927303,Más de 1M,Intermedio,Sin Experiencia,Remoto,36,Dentro del mercado,0,100.0,1
35,428263,Más de 1M,Intermedio,Sin Experiencia,Remoto,1,Dentro del mercado,1,96.07,1
48,906737,Menos de 250k,Experto,General,Presencial,6,Por debajo del mercado,0,100.0,1
24,1711916,Menos de 250k,Básico,Sin Experiencia,Híbrido,45,Dentro del mercado,0,100.0,1
57,356064,250k a 1M,Básico,Específica,Presencial,25,Dentro del mercado,1,100.0,1
16,110341,Menos de 250k,Básico,Específica,Presencial,44,Por encima del mercado,1,100.0,1
14,658578,Menos de 250k,Intermedio,General,Presencial,37,Por debajo del mercado,1,72.94,1
54,599033,250k a 1M,Intermedio,Específica,Presencial,41,Dentro del mercado,1,95.83,1
26,543849,Menos de 250k,Intermedio,General,Remoto,23,Por encima del mercado,1,88.66,1
30,1345369,Menos de 250k,Intermedio,Específica,Presencial,40,Por debajo del mercado,0,99.13,1
17,995766,250k a 1M,Básico,Específica,Remoto,40,Por encima del mercado,1,100.0,1
26,1952805,Menos de 250k,Experto,Sin Experiencia,Presencial,8,Por debajo del mercado,0,98.66,1
18,570760,Más de 1M,Experto,Sin Experiencia,Presencial,8,Dentro del mercado,0,74.57,1
36,825186,250k a 1M,Básico,Sin Experiencia,Híbrido,42,Dentro del mercado,1,100.0,1
29,1272436,250k a 1M,Intermedio,Específica,Remoto,45,Por encima del mercado,1,67.68,0
41,1485012,Más de 1M,Intermedio,Específica,Remoto,12,Por encima del mercado,0,100.0,1
52,1407351,Menos de 250k,Intermedio,Específica,Presencial,37,Por encima del mercado,1,100.0,1
35,1010839,Menos de 250k,Experto,Específica,Remoto,20,Dentro del mercado,0,85.27,1
22,229807,250k a 1M,Intermedio,Sin Experiencia,Remoto,27,Por encima del mercado,0,100.0,1
35,71643,Menos de 250k,Intermedio,Sin Experiencia,Remoto,17,Dentro del mercado,1,80.53,1
34,1033316,Menos de 250k,Experto,Específica,Presencial,3,Dentro del mercado,1,100.0,1
25,329350,250k a 1M,Intermedio,General,Remoto,16,Por debajo del mercado,1,100.0,1
54,1877549,Menos de 250k,Intermedio,Sin Experiencia,Presencial,5,Dentro del mercado,1,100.0,1
29,727895,250k a 1M,Básico,Específica,Híbrido,7,Por debajo del mercado,1,62.53,0
56,1503375,Menos de 250k,Intermedio,Sin Experiencia,Híbrido,35,Por encima del mercado,1,100.0,1
55,883732,Más de 1M,Básico,General,Presencial,10,Por debajo del mercado,0,100.0,1
53,1490433,Más de 1M,Intermedio,Específica,Híbrido,36,Dentro del mercado,1,86.29,1
16,495052,Más de 1M,Básico,Sin Experiencia,Híbrido,30,Por debajo del mercado,1,100.0,1
50,1545973,Más de 1M,Básico,General,Híbrido,39,Dentro del mercado,0,83.07,1
52,854248,Menos de 250k,Básico,Específica,Híbrido,7,Por encima del mercado,0,100.0,1
22,1535733,Menos de 250k,Intermedio,Sin Experiencia,Híbrido,17,Por encima del mercado,0,100.0,1
46,937705,250k a 1M,Intermedio,Sin Experiencia,Híbrido,28,Dentro del mercado,0,100.0,1
58,1593722,Menos de 250k,Experto,Específica,Remoto,23,Dentro del mercado,1,100.0,1
27,1302410,Más de 1M,Experto,Sin Experiencia,Híbrido,38,Por encima del mercado,1,60.19,0
22,587344,250k a 1M,Intermedio,Específica,Híbrido,23,Dentro del mercado,1,100.0,1
41,203208,250k a 1M,Intermedio,General,Remoto,7,Por debajo del mercado,0,100.0,1
36,249815,Menos de 250k,Básico,General,Híbrido,6,Dentro del mercado,1,67.06,0
29,1218113,Más de 1M,Intermedio,Específica,Remoto,42,Por encima del mercado,1,100.0,1
52,173212,Menos de 250k,Intermedio,General,Remoto,10,Por debajo del mercado,0,75.61,1
56,159288,Más de 1M,Básico,Sin Experiencia,Remoto,2,Por debajo del mercado,0,78.98,1
47,748063,250k a 1M,Básico,Específica,Presencial,13,Por encima del mercado,0,100.0,1
26,542498,Más de 1M,Básico,General,Híbrido,15,Por encima del mercado,1,100.0,1
55,1037616,Menos de 250k,Básico,Específica,Híbrido,37,Por encima del mercado,1,100.0,1
32,1954689,Más de 1M,Experto,Específica,Remoto,48,Dentro del mercado,0,100.0,1
15,793024,Más de 1M,Básico,General,Remoto,4,Por debajo del mercado,1,100.0,1
26,1321659,250k a 1M,Intermedio,Sin Experiencia,Presencial,24,Por debajo del mercado,1,100.0,1
14,1456751,Menos de 250k,Básico,Sin Experiencia,Presencial,39,Por debajo del mercado,0,100.0,1
32,1732437,Más de 1M,Básico,Específica,Presencial,25,Dentro del mercado,1,86.0,1
37,1304583,250k a 1M,Experto,Sin Experiencia,Remoto,28,Por encima del mercado,0,100.0,1
29,1538067,250k a 1M,Experto,Específica,Híbrido,44,Dentro del mercado,1,56.98,0
16,1619176,Menos de 250k,Experto,General,Remoto,28,Por debajo del mercado,0,87.03,1
25,1748384,Más de 1M,Intermedio,General,Presencial,42,Por encima del mercado,1,83.92,1
48,145445,Más de 1M,Intermedio,Específica,Remoto,38,Dentro del mercado,0,100.0,1
57,61242,Más de 1M,Básico,Específica,Híbrido,17,Por encima del mercado,0,100.0,1
32,581957,250k a 1M,Intermedio,Sin Experiencia,Presencial,10,Por encima del mercado,0,100.0,1
25,1108101,Menos de 250k,Intermedio,Específica,Presencial,14,Por debajo del mercado,0,100.0,1
53,1349516,Menos de 250k,Intermedio,Sin Experiencia,Presencial,37,Dentro del mercado,1,100.0,1
43,848884,Más de 1M,Intermedio,Sin Experiencia,Presencial,19,Dentro del mercado,0,100.0,1
37,684403,250k a 1M,Intermedio,General,Híbrido,13,Por encima del mercado,1,100.0,1
53,877739,250k a 1M,Intermedio,Específica,Presencial,36,Dentro del mercado,1,60.43,0
41,1457738,Menos de 250k,Experto,Sin Experiencia,Remoto,44,Por debajo del mercado,0,100.0,1
21,827836,250k a 1M,Intermedio,Sin Experiencia,Presencial,14,Por debajo del mercado,0,100.0,1
28,327323,250k a 1M,Experto,Específica,Presencial,47,Por debajo del mercado,0,100.0,1
20,1921133,Menos de 250k,Intermedio,Específica,Híbrido,31,Por encima del mercado,1,92.73,1
27,1223483,Más de 1M,Intermedio,Específica,Híbrido,23,Dentro del mercado,0,56.56,0
59,136245,250k a 1M,Experto,Específica,Híbrido,44,Por encima del mercado,1,100.0,1
47,1267369,250k a 1M,Básico,General,Híbrido,48,Por encima del mercado,0,97.31,1
46,426170,Más de 1M,Experto,General,Remoto,19,Por encima del mercado,0,100.0,1
28,595871,Menos de 250k,Intermedio,Sin Experiencia,Presencial,11,Dentro del mercado,1,75.48,1
59,406235,Más de 1M,Intermedio,Sin Experiencia,Remoto,34,Dentro del mercado,1,100.0,1
49,1106433,Más de 1M,Básico,Específica,Remoto,33,Dentro del mercado,0,100.0,1
