facturacion_anual,fortaleza_tecnologica,experiencia_requerida,lugar_trabajo,precio_hora,duracion,presupuesto,numero_perfiles_requeridos,volumetria,exito,prob_exito
250k a 1M,Básico,Sin Experiencia,Híbrido,Dentro del mercado,5,135466,9,699,0,67
250k a 1M,Experto,General,Presencial,Por debajo del mercado,27,115303,6,852,1,62
Más de 1M,Básico,Específica,Remoto,Por debajo del mercado,19,184223,1,454,1,13
Menos de 250k,Intermedio,Específica,Presencial,Por encima del mercado,4,175234,14,711,0,0
250k a 1M,Intermedio,Específica,Híbrido,Por encima del mercado,36,106749,8,224,0,63
250k a 1M,Experto,Específica,Presencial,Por encima del mercado,3,188951,11,247,1,94
250k a 1M,Intermedio,Específica,Híbrido,Por encima del mercado,4,157187,19,656,1,79
250k a 1M,Básico,General,Híbrido,Por debajo del mercado,14,111947,7,68,0,12
Menos de 250k,Básico,Sin Experiencia,Remoto,Por debajo del mercado,32,64173,17,589,0,95
Menos de 250k,Básico,Sin Experiencia,Presencial,Por debajo del mercado,3,254262,13,659,0,81
Más de 1M,Intermedio,General,Híbrido,Por encima del mercado,7,394839,15,550,1,92
Menos de 250k,Intermedio,General,Presencial,Por encima del mercado,7,360003,14,461,0,53
Más de 1M,Experto,General,Híbrido,Por debajo del mercado,21,66984,16,76,1,16
250k a 1M,Experto,Específica,Remoto,Por debajo del mercado,2,413211,2,467,1,73
250k a 1M,Intermedio,General,Presencial,Por encima del mercado,20,305363,19,251,1,80
Más de 1M,Experto,Específica,Híbrido,Por debajo del mercado,7,170307,14,943,1,21
250k a 1M,Intermedio,Sin Experiencia,Remoto,Dentro del mercado,9,120851,18,401,0,51
Menos de 250k,Experto,Sin Experiencia,Presencial,Dentro del mercado,22,400190,13,339,1,72
250k a 1M,Experto,General,Presencial,Por encima del mercado,18,405192,5,792,0,93
Más de 1M,Básico,Específica,Remoto,Por debajo del mercado,11,146338,19,680,1,14
Menos de 250k,Intermedio,General,Presencial,Dentro del mercado,24,257262,20,916,1,3
250k a 1M,Básico,Específica,Híbrido,Por debajo del mercado,33,414127,18,448,0,80
Más de 1M,Experto,Sin Experiencia,Remoto,Dentro del mercado,10,99079,16,598,0,78
250k a 1M,Intermedio,General,Remoto,Por debajo del mercado,12,158099,13,797,1,85
