duracion,presupuesto,facturacion_anual,fortaleza_tecnologica,experiencia_requerida,lugar_trabajo,numero_perfiles_requeridos,precio_hora,volumetria,prob_exito
35,797836,Más de 1M,Experto,General,Presencial,5,Por encima del mercado,1,100
31,678779,250k a 1M,Básico,Específica,Presencial,5,Por encima del mercado,1,74
37,587461,250k a 1M,Intermedio,General,Remoto,2,Dentro del mercado,1,91
37,436546,Menos de 250k,Intermedio,General,Presencial,6,Por debajo del mercado,0,32
51,651225,250k a 1M,Experto,Específica,Presencial,2,Dentro del mercado,1,100
51,939919,250k a 1M,Básico,General,Presencial,7,Por encima del mercado,1,65
42,669250,250k a 1M,Experto,General,Presencial,8,Dentro del mercado,0,78
48,848956,Menos de 250k,Básico,General,Remoto,10,Por encima del mercado,0,27
16,357321,Más de 1M,Básico,Sin Experiencia,Presencial,1,Dentro del mercado,1,70
14,577829,Menos de 250k,Intermedio,General,Remoto,7,Dentro del mercado,0,63
52,167158,Más de 1M,Intermedio,Sin Experiencia,Presencial,7,Dentro del mercado,1,75
43,919081,Más de 1M,Intermedio,Específica,Remoto,8,Dentro del mercado,0,98
8,864015,250k a 1M,Básico,Sin Experiencia,Remoto,1,Dentro del mercado,1,85
54,187471,Menos de 250k,Básico,General,Presencial,6,Dentro del mercado,0,22
43,171804,Más de 1M,Intermedio,Específica,Presencial,4,Dentro del mercado,1,97
10,416232,250k a 1M,Experto,Específica,Presencial,3,Dentro del mercado,1,100
18,719341,250k a 1M,Experto,General,Remoto,10,Dentro del mercado,0,90
43,338363,Menos de 250k,Básico,Sin Experiencia,Presencial,7,Por encima del mercado,1,23
10,954589,Menos de 250k,Intermedio,General,Remoto,5,Por encima del mercado,0,70
39,672531,Menos de 250k,Intermedio,General,Remoto,4,Dentro del mercado,0,57
22,539214,250k a 1M,Intermedio,Específica,Remoto,10,Por debajo del mercado,1,91
7,532574,Menos de 250k,Experto,Específica,Remoto,10,Por encima del mercado,0,76
58,943017,Menos de 250k,Intermedio,Específica,Presencial,10,Dentro del mercado,1,74
53,649328,Menos de 250k,Intermedio,General,Remoto,5,Por encima del mercado,1,68
16,444593,250k a 1M,Básico,Sin Experiencia,Presencial,9,Por encima del mercado,0,31
6,464364,250k a 1M,Básico,Sin Experiencia,Presencial,1,Por encima del mercado,0,37
58,852178,Más de 1M,Experto,General,Presencial,7,Por debajo del mercado,0,84
19,167023,250k a 1M,Básico,Sin Experiencia,Presencial,10,Dentro del mercado,1,49
42,655570,Más de 1M,Intermedio,General,Remoto,7,Dentro del mercado,1,100
10,153710,250k a 1M,Experto,Sin Experiencia,Remoto,3,Dentro del mercado,1,100
23,470144,Más de 1M,Intermedio,General,Presencial,1,Dentro del mercado,1,92
59,964482,Menos de 250k,Básico,Sin Experiencia,Remoto,4,Por debajo del mercado,0,28
13,960879,Menos de 250k,Básico,Sin Experiencia,Remoto,10,Dentro del mercado,0,40
30,175238,Menos de 250k,Intermedio,Sin Experiencia,Presencial,5,Dentro del mercado,0,29
57,739941,Menos de 250k,Experto,General,Remoto,8,Dentro del mercado,0,69
55,314363,Menos de 250k,Intermedio,Sin Experiencia,Presencial,6,Dentro del mercado,1,50
27,151667,Más de 1M,Básico,General,Remoto,5,Por debajo del mercado,1,74
59,374101,250k a 1M,Básico,Específica,Remoto,4,Dentro del mercado,0,66
36,271627,250k a 1M,Básico,Específica,Presencial,1,Por debajo del mercado,0,38
31,880186,Menos de 250k,Intermedio,General,Presencial,1,Por encima del mercado,1,55
47,535605,250k a 1M,Intermedio,Específica,Remoto,3,Por debajo del mercado,0,72
31,820398,Menos de 250k,Básico,Sin Experiencia,Remoto,9,Por debajo del mercado,0,19
45,572185,Menos de 250k,Básico,General,Presencial,3,Dentro del mercado,1,48
42,604427,Menos de 250k,Básico,Específica,Remoto,3,Por encima del mercado,0,39
29,184799,250k a 1M,Básico,Sin Experiencia,Remoto,5,Dentro del mercado,1,64
58,261157,250k a 1M,Intermedio,General,Remoto,10,Por debajo del mercado,1,71
33,584999,Más de 1M,Experto,Sin Experiencia,Remoto,8,Dentro del mercado,1,100
37,262885,250k a 1M,Intermedio,Sin Experiencia,Presencial,3,Por debajo del mercado,1,57
55,936454,250k a 1M,Intermedio,General,Presencial,1,Dentro del mercado,0,66
47,941938,250k a 1M,Básico,Sin Experiencia,Remoto,6,Por debajo del mercado,1,67
29,580871,250k a 1M,Intermedio,General,Presencial,5,Dentro del mercado,0,67
22,524537,Menos de 250k,Básico,Específica,Presencial,10,Dentro del mercado,1,56
29,914659,250k a 1M,Básico,Sin Experiencia,Remoto,7,Dentro del mercado,1,75
35,418532,Más de 1M,Intermedio,Específica,Remoto,3,Por encima del mercado,0,80
43,455199,250k a 1M,Básico,Sin Experiencia,Presencial,5,Por encima del mercado,1,50
12,121058,Menos de 250k,Básico,Específica,Presencial,7,Dentro del mercado,1,59
51,325134,Más de 1M,Experto,Específica,Presencial,8,Dentro del mercado,0,91
55,163199,250k a 1M,Experto,Específica,Presencial,10,Dentro del mercado,1,94
53,228537,250k a 1M,Básico,Específica,Remoto,5,Por encima del mercado,1,75
50,508977,Más de 1M,Básico,Sin Experiencia,Remoto,2,Por debajo del mercado,0,45
10,261287,250k a 1M,Básico,Sin Experiencia,Presencial,6,Dentro del mercado,1,69
13,168580,250k a 1M,Experto,General,Presencial,6,Dentro del mercado,0,82
16,298042,Más de 1M,Básico,General,Remoto,3,Por encima del mercado,0,62
20,168320,250k a 1M,Intermedio,General,Remoto,3,Por debajo del mercado,1,80
37,781660,250k a 1M,Intermedio,Sin Experiencia,Remoto,2,Dentro del mercado,1,85
9,397876,250k a 1M,Básico,Sin Experiencia,Presencial,4,Por debajo del mercado,1,61
53,301380,Más de 1M,Básico,Específica,Remoto,5,Dentro del mercado,1,97
8,252004,250k a 1M,Intermedio,General,Presencial,9,Dentro del mercado,0,68
32,504086,250k a 1M,Intermedio,Sin Experiencia,Presencial,4,Por debajo del mercado,0,44
40,699016,Menos de 250k,Intermedio,Sin Experiencia,Remoto,10,Dentro del mercado,0,39
7,499660,250k a 1M,Básico,General,Remoto,4,Por encima del mercado,1,83
27,893159,Menos de 250k,Básico,Sin Experiencia,Remoto,4,Por debajo del mercado,0,26
55,872224,250k a 1M,Intermedio,General,Remoto,1,Dentro del mercado,0,75
37,809972,Más de 1M,Básico,Sin Experiencia,Remoto,7,Dentro del mercado,0,63
6,689566,250k a 1M,Intermedio,General,Presencial,2,Por encima del mercado,0,68
20,980805,250k a 1M,Intermedio,Específica,Remoto,6,Por encima del mercado,1,100
33,794228,250k a 1M,Básico,Sin Experiencia,Remoto,5,Por encima del mercado,0,46
36,112062,Menos de 250k,Básico,Específica,Presencial,6,Dentro del mercado,0,31
56,141107,Menos de 250k,Básico,Específica,Remoto,5,Dentro del mercado,1,63
17,963334,Menos de 250k,Básico,Sin Experiencia,Presencial,7,Dentro del mercado,1,56
32,131482,250k a 1M,Básico,Sin Experiencia,Presencial,6,Por encima del mercado,0,21
6,661437,Menos de 250k,Básico,Específica,Remoto,3,Por debajo del mercado,0,55
41,445793,Menos de 250k,Básico,Sin Experiencia,Remoto,3,Por debajo del mercado,0,15
36,807028,Más de 1M,Básico,Sin Experiencia,Remoto,8,Dentro del mercado,0,61
35,267427,Más de 1M,Intermedio,Sin Experiencia,Presencial,8,Dentro del mercado,0,55
17,549086,Menos de 250k,Básico,Específica,Remoto,3,Dentro del mercado,0,57
55,480469,250k a 1M,Experto,Específica,Remoto,3,Dentro del mercado,0,96
