duracion,presupuesto,facturacion_anual,fortaleza_tecnologica,experiencia_requerida,lugar_trabajo,numero_perfiles_requeridos,precio_hora,volumetria,prob_exito,exito
15,135848,Menos de 250k,Experto,General,Presencial,20,Por debajo del mercado,1,85.5,1
29,64913,Más de 1M,Intermedio,General,Híbrido,1,Por encima del mercado,0,100.0,1
17,392117,Menos de 250k,Intermedio,Específica,Híbrido,4,Dentro del mercado,0,82.2,1
38,749219,Más de 1M,Intermedio,General,Remoto,7,Por debajo del mercado,0,100.0,1
29,461017,Menos de 250k,Experto,Específica,Remoto,15,Dentro del mercado,0,69.4,0
18,476644,Entre 250k y 1M,Intermedio,Sin Experiencia,Remoto,3,Por debajo del mercado,1,76.7,1
14,909609,Entre 250k y 1M,Experto,Sin Experiencia,Remoto,13,Dentro del mercado,0,100.0,1
36,981680,Menos de 250k,Básico,Específica,Remoto,13,Por encima del mercado,1,100.0,1
46,731486,Menos de 250k,Básico,Específica,Híbrido,19,Por debajo del mercado,0,100.0,1
47,652586,Entre 250k y 1M,Básico,Específica,Remoto,4,Por encima del mercado,0,87.9,1
33,945052,Entre 250k y 1M,Básico,General,Híbrido,5,Dentro del mercado,1,100.0,1
33,414613,Menos de 250k,Básico,Sin Experiencia,Presencial,8,Dentro del mercado,0,100.0,1
15,646043,Entre 250k y 1M,Experto,General,Remoto,20,Dentro del mercado,0,72.9,1
22,375512,Menos de 250k,Básico,Específica,Híbrido,7,Por debajo del mercado,1,67.6,0
20,540272,Entre 250k y 1M,Básico,Específica,Remoto,16,Por encima del mercado,1,77.5,1
33,852975,Más de 1M,Básico,General,Presencial,8,Dentro del mercado,1,97.0,1
47,568438,Menos de 250k,Experto,Sin Experiencia,Presencial,2,Por debajo del mercado,1,100.0,1
33,456732,Entre 250k y 1M,Intermedio,Sin Experiencia,Híbrido,6,Por encima del mercado,1,100.0,1
56,209940,Menos de 250k,Básico,Sin Experiencia,Híbrido,15,Dentro del mercado,1,100.0,1
27,826422,Menos de 250k,Intermedio,General,Remoto,20,Dentro del mercado,1,100.0,1
22,864004,Menos de 250k,Básico,Sin Experiencia,Híbrido,19,Dentro del mercado,0,72.5,1
12,239842,Menos de 250k,Experto,Sin Experiencia,Híbrido,6,Dentro del mercado,1,62.2,0
39,147032,Menos de 250k,Básico,Específica,Remoto,11,Dentro del mercado,1,77.0,1
17,503034,Más de 1M,Experto,Específica,Híbrido,13,Dentro del mercado,0,87.2,1
50,754591,Más de 1M,Básico,General,Híbrido,3,Por debajo del mercado,0,96.3,1
36,141629,Menos de 250k,Básico,General,Híbrido,5,Dentro del mercado,0,100.0,1
16,430666,Entre 250k y 1M,Básico,General,Remoto,13,Dentro del mercado,0,100.0,1
12,266987,Más de 1M,Básico,Sin Experiencia,Híbrido,5,Por encima del mercado,1,94.6,1
32,994991,Entre 250k y 1M,Intermedio,Específica,Híbrido,19,Por encima del mercado,0,100.0,1
58,819552,Más de 1M,Experto,Sin Experiencia,Remoto,16,Por debajo del mercado,1,100.0,1
40,106389,Más de 1M,Intermedio,General,Presencial,18,Dentro del mercado,0,92.1,1
18,786894,Más de 1M,Intermedio,General,Remoto,4,Por encima del mercado,1,100.0,1
14,943282,Entre 250k y 1M,Intermedio,Sin Experiencia,Presencial,12,Por debajo del mercado,0,100.0,1
17,924999,Más de 1M,Básico,Específica,Híbrido,5,Por debajo del mercado,0,88.9,1
54,55558,Menos de 250k,Experto,Específica,Híbrido,3,Por debajo del mercado,1,100.0,1
21,476360,Menos de 250k,Intermedio,Específica,Híbrido,16,Por encima del mercado,1,100.0,1
20,232131,Más de 1M,Experto,Específica,Presencial,11,Por debajo del mercado,0,100.0,1
13,686387,Más de 1M,Intermedio,Específica,Presencial,3,Dentro del mercado,0,100.0,1
30,733594,Entre 250k y 1M,Experto,General,Híbrido,8,Por encima del mercado,0,71.7,1
39,155799,Más de 1M,Básico,Específica,Remoto,7,Dentro del mercado,1,77.8,1
48,282506,Entre 250k y 1M,Experto,Sin Experiencia,Presencial,8,Dentro del mercado,0,63.3,0
42,375101,Entre 250k y 1M,Intermedio,Específica,Remoto,5,Por encima del mercado,1,73.3,1
28,745183,Menos de 250k,Básico,Específica,Híbrido,10,Por debajo del mercado,1,76.3,1
42,433828,Entre 250k y 1M,Intermedio,General,Remoto,8,Por encima del mercado,1,74.4,1
14,667775,Más de 1M,Intermedio,Específica,Presencial,15,Por debajo del mercado,1,84.6,1
31,837527,Entre 250k y 1M,Experto,General,Remoto,12,Por debajo del mercado,0,100.0,1
