duracion,presupuesto,facturacion_anual,fortaleza_tecnologica,experiencia_requerida,lugar_trabajo,numero_perfiles_requeridos,precio_hora,volumetria,exito,prob_exito
7,396699,250k a 1M,Intermedio,General,Presencial,2,Por encima del mercado,53,0,22.05
20,1434418,250k a 1M,Básico,General,Híbrido,5,Por debajo del mercado,17,0,38.94
15,436594,Menos de 250k,Intermedio,General,Híbrido,13,Por debajo del mercado,83,0,19.6
11,822608,250k a 1M,Básico,Sin Experiencia,Remoto,3,Por encima del mercado,55,0,31.92
8,1759351,Más de 1M,Intermedio,Sin Experiencia,Híbrido,14,Por encima del mercado,78,1,58.39
21,1790095,250k a 1M,Intermedio,General,Presencial,13,Dentro del mercado,28,1,45.16
7,1142501,Menos de 250k,Intermedio,General,Remoto,2,Por debajo del mercado,47,0,23.25
19,1094027,250k a 1M,Experto,Específica,Remoto,14,Por encima del mercado,20,0,57.96
23,187023,Menos de 250k,Intermedio,Específica,Remoto,14,Por debajo del mercado,52,1,27.81
11,1185964,Menos de 250k,Intermedio,Específica,Remoto,4,Dentro del mercado,29,0,32.38
11,582295,Más de 1M,Intermedio,General,Presencial,4,Por debajo del mercado,29,0,33.31
21,1356378,Menos de 250k,Intermedio,General,Presencial,4,Dentro del mercado,30,1,38.64
4,1533624,250k a 1M,Básico,General,Presencial,4,Por debajo del mercado,91,1,26.52
8,108596,250k a 1M,Básico,General,Presencial,3,Dentro del mercado,66,0,8.59
3,998027,250k a 1M,Intermedio,Sin Experiencia,Remoto,13,Por debajo del mercado,59,0,17.6
22,401005,250k a 1M,Intermedio,Específica,Presencial,12,Por debajo del mercado,83,1,30.16
21,1878130,Menos de 250k,Básico,Específica,Presencial,7,Dentro del mercado,35,0,51.48
2,923172,Menos de 250k,Básico,General,Remoto,9,Por encima del mercado,39,0,25.61
12,1638388,250k a 1M,Básico,Sin Experiencia,Remoto,12,Por encima del mercado,82,1,45.05
6,572244,Menos de 250k,Experto,General,Híbrido,5,Por debajo del mercado,40,0,23.81
2,1511074,Menos de 250k,Intermedio,Específica,Remoto,4,Dentro del mercado,51,0,29.44
21,729290,Menos de 250k,Intermedio,Específica,Presencial,11,Dentro del mercado,77,0,34.22
1,549097,Menos de 250k,Básico,Sin Experiencia,Híbrido,2,Por debajo del mercado,70,0,9.12
12,699789,Menos de 250k,Intermedio,Sin Experiencia,Remoto,2,Por debajo del mercado,70,0,20.95
