duracion,presupuesto,facturacion_anual,fortaleza_tecnologica,experiencia_requerida,lugar_trabajo,numero_perfiles_requeridos,precio_hora,volumetria,exito,prob_exito
15,450812,250k a 1M,Experto,Específica,Remoto,20,Por debajo del mercado,482,0,73.97
9,2772982,Más de 1M,Intermedio,Sin Experiencia,Presencial,16,Por debajo del mercado,391,1,61.46
27,1509071,Más de 1M,Básico,Específica,Presencial,5,Por encima del mercado,29,0,39.71
26,2250513,250k a 1M,Básico,General,Remoto,11,Por encima del mercado,230,1,47.66
33,2709827,Más de 1M,Intermedio,Específica,Híbrido,8,Dentro del mercado,473,1,77.29
36,2609205,250k a 1M,Intermedio,Sin Experiencia,Presencial,2,Dentro del mercado,299,0,46.56
28,1920054,250k a 1M,Básico,General,Híbrido,7,Por debajo del mercado,4,0,34.57
6,896249,250k a 1M,Básico,Específica,Presencial,15,Dentro del mercado,159,0,44.98
33,211008,Más de 1M,Experto,Sin Experiencia,Presencial,3,Por encima del mercado,354,0,34.98
34,351433,Más de 1M,Intermedio,Sin Experiencia,Híbrido,14,Por debajo del mercado,170,0,29.11
15,2766777,Menos de 250k,Experto,Específica,Híbrido,9,Por encima del mercado,458,1,88.16
29,577617,250k a 1M,Intermedio,Específica,Híbrido,12,Dentro del mercado,11,0,45.11
8,200845,Más de 1M,Intermedio,Sin Experiencia,Híbrido,5,Por encima del mercado,279,0,24.13
15,2206901,250k a 1M,Intermedio,Sin Experiencia,Presencial,6,Por debajo del mercado,490,0,51.27
10,2929483,Menos de 250k,Básico,Específica,Remoto,9,Dentro del mercado,440,0,69.24
4,2569014,Menos de 250k,Experto,Específica,Híbrido,9,Por encima del mercado,422,1,85.1
17,2696491,Más de 1M,Experto,General,Remoto,9,Por debajo del mercado,254,1,71.33
11,2582019,Más de 1M,Básico,Específica,Híbrido,14,Por debajo del mercado,239,1,63.49
22,1177332,Menos de 250k,Intermedio,General,Híbrido,19,Por debajo del mercado,492,0,60.78
18,176506,Menos de 250k,Básico,General,Remoto,19,Por debajo del mercado,256,1,33.7
6,1276786,Menos de 250k,Intermedio,Sin Experiencia,Remoto,9,Dentro del mercado,280,1,37.92
16,1916346,250k a 1M,Experto,Sin Experiencia,Remoto,16,Dentro del mercado,316,1,60.64
10,229265,Menos de 250k,Experto,General,Presencial,11,Por debajo del mercado,263,1,48.43
32,1637375,250k a 1M,Experto,Sin Experiencia,Remoto,12,Dentro del mercado,310,1,54.67
8,1339924,250k a 1M,Básico,Sin Experiencia,Presencial,5,Por encima del mercado,143,1,21.44
15,2713195,Más de 1M,Intermedio,Sin Experiencia,Híbrido,10,Dentro del mercado,454,1,58.25
21,2318404,Más de 1M,Intermedio,Específica,Híbrido,15,Por encima del mercado,103,0,67.52
19,2392938,Menos de 250k,Básico,Específica,Híbrido,16,Por debajo del mercado,421,1,68.56
11,498122,Más de 1M,Intermedio,Sin Experiencia,Híbrido,4,Por encima del mercado,378,1,29.32
12,1738186,Menos de 250k,Básico,Sin Experiencia,Presencial,10,Por encima del mercado,259,0,32.65
9,1420117,Más de 1M,Experto,General,Presencial,5,Por encima del mercado,436,1,61.03
26,218937,Menos de 250k,Básico,Específica,Híbrido,15,Dentro del mercado,196,1,39.32
34,89247,250k a 1M,Intermedio,Específica,Híbrido,12,Por debajo del mercado,32,0,40.85
15,1870520,Menos de 250k,Experto,Específica,Presencial,2,Por debajo del mercado,194,1,66.03
34,2109797,Más de 1M,Experto,Específica,Remoto,15,Dentro del mercado,391,1,84.08
30,461043,250k a 1M,Experto,General,Híbrido,7,Por encima del mercado,120,1,43.46
10,1950749,Más de 1M,Intermedio,General,Remoto,18,Dentro del mercado,475,0,67.26
13,2458736,250k a 1M,Intermedio,General,Remoto,20,Por encima del mercado,28,0,60.43
4,1057284,Más de 1M,Intermedio,Específica,Presencial,8,Por debajo del mercado,190,1,52.27
28,2201902,250k a 1M,Básico,Sin Experiencia,Híbrido,7,Dentro del mercado,215,1,33.72
18,2095309,250k a 1M,Básico,General,Remoto,1,Por debajo del mercado,97,0,34.61
26,2498107,Menos de 250k,Básico,Sin Experiencia,Remoto,10,Dentro del mercado,232,1,39.44
35,2850949,250k a 1M,Básico,General,Híbrido,17,Dentro del mercado,277,0,59.57
1,1760092,250k a 1M,Básico,Sin Experiencia,Remoto,17,Por debajo del mercado,11,0,30.68
3,896428,Más de 1M,Experto,Sin Experiencia,Híbrido,2,Por debajo del mercado,232,0,37.42
33,2010449,250k a 1M,Experto,Específica,Híbrido,11,Por debajo del mercado,403,1,80.44
8,199196,Menos de 250k,Experto,Específica,Híbrido,16,Por encima del mercado,118,0,57.53
12,57695,250k a 1M,Básico,General,Remoto,16,Dentro del mercado,472,1,36.74
31,2708165,Más de 1M,Intermedio,General,Híbrido,6,Por encima del mercado,267,1,59.59
12,2110382,Más de 1M,Experto,Específica,Remoto,1,Dentro del mercado,210,0,68.15
4,440592,250k a 1M,Básico,Sin Experiencia,Remoto,18,Por debajo del mercado,33,0,18.9
35,23933,250k a 1M,Básico,Sin Experiencia,Presencial,17,Por debajo del mercado,287,0,21.6
26,1412878,Más de 1M,Intermedio,General,Híbrido,12,Por debajo del mercado,208,0,49.37
12,195300,250k a 1M,Intermedio,Sin Experiencia,Remoto,4,Por debajo del mercado,92,0,17.71
13,818117,250k a 1M,Intermedio,Específica,Remoto,3,Por debajo del mercado,81,0,42.86
15,2385829,Más de 1M,Básico,Específica,Remoto,10,Por debajo del mercado,318,1,60.9
26,329439,250k a 1M,Básico,General,Remoto,4,Por encima del mercado,90,0,18.99
11,578118,Más de 1M,Básico,Específica,Híbrido,6,Por encima del mercado,456,0,43.96
7,2199851,250k a 1M,Básico,Sin Experiencia,Presencial,19,Por debajo del mercado,484,0,50.77
31,583888,Menos de 250k,Experto,Sin Experiencia,Remoto,7,Dentro del mercado,447,1,44.5
18,1540870,Más de 1M,Básico,Específica,Presencial,3,Por encima del mercado,75,1,39.91
24,1208582,Más de 1M,Básico,General,Remoto,10,Por debajo del mercado,462,1,43.45
28,644162,Más de 1M,Básico,General,Presencial,2,Por debajo del mercado,408,0,30.18
5,1198712,Menos de 250k,Experto,General,Híbrido,13,Por debajo del mercado,199,1,57.71
4,1599174,Más de 1M,Básico,General,Presencial,3,Por encima del mercado,348,0,38.68
4,449781,Más de 1M,Intermedio,General,Híbrido,20,Dentro del mercado,491,0,54.23
13,2811527,250k a 1M,Intermedio,Sin Experiencia,Remoto,4,Por debajo del mercado,288,0,49.76
17,2422560,250k a 1M,Intermedio,General,Presencial,3,Por encima del mercado,9,0,46.75
12,1203661,250k a 1M,Intermedio,Sin Experiencia,Híbrido,4,Dentro del mercado,21,1,25.67
31,307925,Más de 1M,Básico,Sin Experiencia,Presencial,2,Por debajo del mercado,340,0,14.78
23,366784,Más de 1M,Básico,Sin Experiencia,Remoto,16,Dentro del mercado,184,0,21.19
9,736765,250k a 1M,Básico,Sin Experiencia,Remoto,16,Por encima del mercado,344,1,29.69
34,2030211,Menos de 250k,Experto,Específica,Presencial,17,Por debajo del mercado,257,1,80.76
29,1532330,Menos de 250k,Experto,General,Remoto,10,Dentro del mercado,473,1,67.01
4,237644,Menos de 250k,Intermedio,General,Híbrido,5,Dentro del mercado,341,0,36.36
5,500082,Más de 1M,Básico,General,Híbrido,10,Dentro del mercado,175,1,27.75
8,1787318,Más de 1M,Experto,Específica,Remoto,14,Dentro del mercado,191,0,74.1
